"s","a","r","sp"
254611,0,-1,254611
254611,0,-1,254602
254602,0,-1,254602
254602,0,-1,254602
254602,0,-1,254602
254602,0,-1,254593
254593,0,-1,249409
249409,0,-1,254593
254593,0,-1,249409
249409,1,-28,641
641,0,-1,16193
16193,0,-1,21377
21377,0,-1,21377
21377,0,-1,16193
16193,0,-1,21376
21376,0,-1,21376
21376,0,-1,21376
21376,0,-1,16192
16192,0,-1,21376
21376,0,-1,21376
21376,0,-1,21376
21376,0,-1,21376
21376,0,-1,57664
57664,0,-1,21376
21376,0,-1,26560
26560,0,-1,57664
57664,0,-1,73216
73216,0,-1,36928
36928,0,-1,36928
36928,0,-1,36928
36928,0,-1,38224
38224,0,-1,74512
74512,0,-1,74512
74512,0,-1,15788
15788,0,-1,15787
15787,0,-1,20971
20971,0,-1,15787
15787,0,-1,20971
20971,0,-1,20971
20971,0,-1,10603
10603,0,-1,20971
20971,0,-1,20971
20971,0,-1,20971
20971,0,-1,20971
20971,0,-1,15787
15787,0,-1,20971
20971,0,-1,20810
20810,0,-1,25994
25994,0,-1,25994
25994,0,-1,20809
20809,0,-1,15625
15625,0,-1,25993
25993,0,-1,15625
15625,0,-1,20809
20809,0,-1,20809
20809,0,-1,20809
20809,0,-1,20809
20809,0,-1,20809
20809,0,-1,20809
20809,1,-8,5178
5178,0,-1,103674
103674,0,-1,103674
103674,0,-1,145146
145146,0,-1,139962
139962,0,-1,145146
145146,0,-1,139962
139962,0,-1,145146
145146,0,-1,145146
145146,0,-1,145145
145145,0,-1,139961
139961,0,-1,103673
103673,0,-1,181433
181433,0,-1,181433
181433,0,-1,181433
181433,0,-1,98489
98489,0,-1,181433
181433,0,-1,62201
62201,0,-1,62201
62201,0,-1,25913
25913,0,-1,25913
25913,0,-1,25913
25913,0,-1,20729
20729,0,-1,20729
20729,0,-1,25913
25913,0,-1,25912
25912,0,-1,25912
25912,0,-1,20728
20728,0,-1,25912
25912,0,-1,20728
20728,0,-1,25912
25912,0,-1,67384
67384,0,-1,67384
67384,0,-1,62200
62200,0,-1,25912
25912,0,-1,62200
62200,0,-1,31096
31096,0,-1,5184
5184,0,-1,295488
295488,0,-1,295488
295488,0,-1,295488
295488,0,-1,295488
295488,0,-1,295488
295488,0,-1,295488
295488,0,-1,295488
295488,0,-1,295488
295488,0,-1,295488
295488,1,-1,1289
1289,0,-1,16841
16841,0,-1,16841
16841,0,-1,22025
22025,0,-1,22025
22025,0,-1,22024
22024,0,-1,22024
22024,0,-1,22024
22024,0,-1,16840
16840,0,-1,16840
16840,0,-1,22024
22024,0,-1,22024
22024,0,-1,22024
22024,0,-1,22024
22024,0,-1,16840
16840,0,-1,22024
22024,0,-1,58312
58312,0,-1,99300
99300,0,-1,94116
94116,0,-1,99299
99299,0,-1,99299
99299,0,-1,99299
99299,0,-1,99299
99299,0,-1,94115
94115,0,-1,99299
99299,0,-1,52643
52643,0,-1,63011
63011,0,-1,16355
16355,0,-1,16355
16355,0,-1,16355
16355,0,-1,16355
16355,0,-1,16355
16355,0,-1,16355
16355,0,-1,21539
21539,0,-1,21539
21539,0,-1,21538
21538,0,-1,21538
21538,0,-1,16354
16354,0,-1,21538
21538,0,-1,21538
21538,0,-1,21538
21538,0,-1,16354
16354,0,-1,16354
16354,0,-1,16354
16354,0,-1,21538
21538,0,-1,16354
16354,0,-1,21538
21538,0,-1,99300
99300,1,-3,5176
5176,0,-1,41464
41464,0,-1,41464
41464,0,-1,77752
77752,1,0,2584
2584,0,-1,75160
75160,0,-1,38872
38872,0,-1,75160
75160,0,-1,98977
98977,0,-1,135265
135265,0,-1,98977
98977,0,-1,140449
140449,0,-1,98977
98977,0,-1,98977
98977,0,-1,98977
98977,0,-1,98977
98977,0,-1,98977
98977,0,-1,98976
98976,0,-1,93792
93792,0,-1,98976
98976,0,-1,98976
